km boat,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina
Sakhir,0.00,2013.66,13323.69,1000000000.00,13404.43,4420.53,4765.48,5182.43,11284.74,4302.60,5673.93,3992.27,5104.64,5285.79,4666.69,6959.20,12885.86,123.07,14199.19,15389.61,18901.49,20709.13,490.91
Jeddah,2013.66,0.00,14098.98,1000000000.00,12766.14,3915.46,4191.02,4496.20,10922.10,3944.05,5296.90,3726.86,4738.36,4966.58,4177.01,8088.69,14868.32,2126.63,20210.96,21719.54,16888.57,14351.83,2585.18
Melbourne,13323.69,14098.98,0.00,1000000000.00,24950.90,25738.52,26274.48,26917.63,26784.88,25406.36,27115.68,24874.05,26418.66,26515.83,26059.77,6663.69,8942.45,13200.65,15715.27,14919.79,20901.57,14444.39,18680.31
Baku,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00
Miami,13404.43,12766.14,24950.90,1000000000.00,0.00,8990.04,8658.54,8289.77,2479.93,9106.43,7748.06,9431.08,8312.20,8149.81,8740.23,27125.30,13446.94,13525.07,1943.66,2270.66,7255.72,5587.70,13859.61
Imola,4420.53,3915.46,25738.52,1000000000.00,8990.04,0.00,383.81,911.03,7009.18,437.94,2036.76,753.09,1285.28,1662.11,261.62,16124.48,15357.58,4542.36,9981.54,11060.24,10572.97,15346.74,4888.06
Monaco,4765.48,4191.02,26274.48,1000000000.00,8658.54,383.81,0.00,535.22,6734.18,759.23,1790.05,1113.13,1204.78,1576.79,281.58,16678.37,15798.20,4887.89,9706.40,10756.79,10237.48,15062.10,5238.17
Barcelona,5182.43,4496.20,26917.63,1000000000.00,8289.77,911.03,535.22,0.00,6480.42,1290.74,1910.18,1648.27,1642.34,1944.57,795.44,17397.05,16517.37,5305.44,9439.73,10436.22,9717.85,14860.75,5663.21
Montreal,11284.74,10922.10,26784.88,1000000000.00,2479.93,7009.18,6734.18,6480.42,0.00,7028.77,5650.96,7308.66,6220.26,6016.94,6748.12,23688.19,16933.53,11398.72,4324.26,4105.29,8976.25,5779.43,11698.59
Spielberg,4302.60,3944.05,25406.36,1000000000.00,9106.43,437.94,759.23,1290.74,7028.77,0.00,2006.36,374.18,1176.46,1488.21,501.04,15734.51,14725.54,4422.03,9990.44,11114.85,10993.84,15190.55,4753.18
