Time ship (h),Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina
Sakhir,0.00,67.12,444.12,33333333.33,446.81,147.35,158.85,172.75,376.16,143.42,189.13,133.08,170.15,176.19,155.56,231.97,429.53,4.10,473.31,512.99,630.05,690.30,16.36
Jeddah,67.12,0.00,469.97,33333333.33,425.54,130.52,139.70,149.87,364.07,131.47,176.56,124.23,157.95,165.55,139.23,269.62,495.61,70.89,673.70,723.98,562.95,478.39,86.17
Melbourne,444.12,469.97,0.00,33333333.33,831.70,857.95,875.82,897.25,892.83,846.88,903.86,829.14,880.62,883.86,868.66,222.12,298.08,440.02,523.84,497.33,696.72,481.48,622.68
Baku,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33,33333333.33
Miami,446.81,425.54,831.70,33333333.33,0.00,299.67,288.62,276.33,82.66,303.55,258.27,314.37,277.07,271.66,291.34,904.18,448.23,450.84,64.79,75.69,241.86,186.26,461.99
Imola,147.35,130.52,857.95,33333333.33,299.67,0.00,12.79,30.37,233.64,14.60,67.89,25.10,42.84,55.40,8.72,537.48,511.92,151.41,332.72,368.67,352.43,511.56,162.94
Monaco,158.85,139.70,875.82,33333333.33,288.62,12.79,0.00,17.84,224.47,25.31,59.67,37.10,40.16,52.56,9.39,555.95,526.61,162.93,323.55,358.56,341.25,502.07,174.61
Barcelona,172.75,149.87,897.25,33333333.33,276.33,30.37,17.84,0.00,216.01,43.02,63.67,54.94,54.74,64.82,26.51,579.90,550.58,176.85,314.66,347.87,323.93,495.36,188.77
,376.16,364.07,892.83,33333333.33,82.66,233.64,224.47,216.01,0.00,234.29,188.37,243.62,207.34,200.56,224.94,789.61,564.45,379.96,144.14,136.84,299.21,192.65,389.95
Montreal,143.42,131.47,846.88,33333333.33,303.55,14.60,25.31,43.02,234.29,0.00,66.88,12.47,39.22,49.61,16.70,524.48,490.85,147.40,333.01,370.49,366.46,506.35,158.44
Spielberg,189.13,176.56,903.86,33333333.33,258.27,67.89,59.67,63.67,188.37,66.88,0.00,81.66,19.03,13.94,55.41,581.46,507.06,193.08,287.20,324.52,349.14,443.74,203.89
Silverstone,133.08,124.23,829.14,33333333.33,314.37,25.10,37.10,54.94,243.62,12.47,81.66,0.00,54.27,62.76,29.00,506.53,476.37,137.00,341.93,380.21,377.47,515.45,147.76
Budapest,170.15,157.95,880.62,33333333.33,277.07,42.84,40.16,54.74,207.34,39.22,19.03,54.27,0.00,8.75,31.43,557.55,499.52,174.11,306.11,343.55,356.71,469.36,184.99
Spa Francorchamps,176.19,165.55,883.86,33333333.33,271.66,55.40,52.56,64.82,200.56,49.61,13.94,62.76,8.75,0.00,44.16,561.27,493.72,180.10,299.09,337.08,359.60,457.46,190.75
Zandvoort,155.56,139.23,868.66,33333333.33,291.34,8.72,9.39,26.51,224.94,16.70,55.41,29.00,31.43,44.16,0.00,547.19,513.01,159.60,324.01,360.07,350.36,499.15,171.03
Monza,231.97,269.62,222.12,33333333.33,904.18,537.48,555.95,579.90,789.61,524.48,581.46,506.53,557.55,561.27,547.19,0.00,184.65,228.02,844.99,609.17,852.38,521.42,215.68
Singapore,429.53,495.61,298.08,33333333.33,448.23,511.92,526.61,550.58,564.45,490.85,507.06,476.37,499.52,493.72,513.01,184.65,0.00,426.85,397.09,425.31,687.04,336.82,415.32
Suzuka,4.10,70.89,440.02,33333333.33,450.84,151.41,162.93,176.85,379.96,147.40,193.08,137.00,174.11,180.10,159.60,228.02,426.85,0.00,693.75,751.70,633.78,694.53,12.35
Lusail,473.31,673.70,523.84,33333333.33,64.79,332.72,323.55,314.66,144.14,333.01,287.20,341.93,306.11,299.09,324.01,844.99,397.09,693.75,0.00,44.09,296.44,93.86,486.18
Austin,512.99,723.98,497.33,33333333.33,75.69,368.67,358.56,347.87,136.84,370.49,324.52,380.21,343.55,337.08,360.07,609.17,425.31,751.70,44.09,0.00,272.47,89.22,526.75
Mexico City,630.05,562.95,696.72,33333333.33,241.86,352.43,341.25,323.93,299.21,366.46,349.14,377.47,356.71,359.60,350.36,852.38,687.04,633.78,296.44,272.47,0.00,358.88,647.94
Sao Paulo,690.30,478.39,481.48,33333333.33,186.26,511.56,502.07,495.36,192.65,506.35,443.74,515.45,469.36,457.46,499.15,521.42,336.82,694.53,93.86,89.22,358.88,0.00,703.62
Las Vegas,16.36,86.17,622.68,33333333.33,461.99,162.94,174.61,188.77,389.95,158.44,203.89,147.76,184.99,190.75,171.03,215.68,415.32,12.35,486.18,526.75,647.94,703.62,0.00
Yas Marina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
